Depth,Middle Probability,Border Probability,Corner Combinations,Edge Combinations,Interior Combinations
146,-180.67506173685024,,,,389.12355801295394
147,-181.91159686705123,,,,391.4245880086179
148,-183.14812120592296,,,,393.71684407997435
149,-184.3846347916499,,,,396.00014530867793
150,-185.62113766221694,,,,398.2743031579416
151,-186.85762985541112,,,,400.5391209809511
152,-188.09411140882287,,,,402.79439348605445
153,-189.3305823598473,,,,405.03990615386857
154,-190.56704274568597,,,,407.2754346007761
155,-191.80349260334685,,,,409.500743882502
156,-193.03993196964768,,,,411.7155877305497
157,-194.27636088121494,,,,413.91970771320564
158,-195.51277937448754,,,,416.11283231156006
159,-196.74918748571565,,,,418.29467589950485
160,-197.9855852509636,,,,420.4649376148998
161,-199.22197270611105,,,,422.62330010699503
162,-200.45834988685306,,,,424.7694281426733
163,-201.69471682870244,,,,426.9029670510435
164,-202.93107356699068,,,,429.02354098224936
165,-204.16742013686894,,,,431.13075095189726
166,-205.4037565733089,,,,433.2241726370595
167,-206.64008291110508,,,,435.3033538831071
168,-207.87639918487457,,,,437.367811872334
169,-209.1127054290596,,,,439.4170298950042
170,-210.34900167792773,,,,441.4504536504911
171,-211.58528796557357,,,,443.4674869897899
172,-212.82156432591944,,,,445.4674869897899
173,-214.057830792716,,,,447.4497582228295
174,-215.2940873995451,,,,449.41354605017506
175,-216.53033417981987,,,,451.35802872232523
176,-217.76657116678496,,,,453.2823080083871
177,-219.0027983935188,,,,455.18539799537905
178,-220.2390158929344,,,,457.06621158765984
179,-221.4752236977805,,,,458.9235440840911
180,-222.71142184064274,,,,460.75605299679734
181,-223.9476103539438,,,,462.5622329707812
182,-225.18378926994558,,,,464.34038422116487
183,-226.41995862074987,,,,466.0885722481711
184,-227.65611843829913,,,,467.8045755918059
185,-228.8922687543776,,,,469.48581682918143
186,-230.12840960061294,,,,471.12926950566765
187,-231.36454100847618,,,,472.7313294969956
188,-232.60066300928327,,,,474.2876319977629
189,-233.83677563419621,,,,475.7927819760828
190,-235.07287891422402,,,,477.23994000742505
191,-236.30897288022368,,,,478.62015124913665
192,-237.54505756290052,,,,479.92118124480055
193,-238.78113299280983,,,,481.1253012274565
194,-240.0171992003584,,,,482.2044824735042
195,-241.25325621580373,,,,483.10757246049604
196,-242.48930406925638,,,,483.70963245182406
197,-243.72534279068077,,,,
198,-244.96137240989492,,,,
199,-246.19739295657382,,,,
200,-247.43340446024717,,,,
201,-248.66940695030337,,,,
202,-249.90540045598766,,,,
203,-251.14138500640559,,,,
204,-252.3773606305216,,,,
205,-253.6133273571612,,,,
206,-254.8492852150123,,,,
207,-256.08523423262454,,,,
208,-257.32117443841116,,,,
209,-258.55710586065015,,,,
210,-259.7930285274839,,,,
211,-261.0289424669213,,,,
212,-262.2648477068377,,,,
213,-263.500744274976,,,,
214,-264.7366321989483,,,,
215,-265.97251150623515,,,,
216,-267.20838222418706,,,,
217,-268.44424438002625,,,,
218,-269.68009800084576,,,,
219,-270.9159431136119,,,,
220,-272.15177974516314,,,,
221,-273.3876079222131,,,,
222,-274.62342767134965,,,,
223,-275.85923901903607,,,,
224,-277.0950419916121,,,,
225,-278.33083661529497,,,,
226,-279.5666229161793,,,,
227,-280.80240092023826,,,,
